tide_range,beam,beam_pair,lat,lon,repeat_cycles_no,track
,pair,1,-72.13794764,-60.77652545,3,437
,l,3,-73.00530373,-60.33438845,4,64
,pair,3,-83.882879,-166.1204141,5,1075
,pair,3,-83.20811976,-157.5426039,3,151
4.717152681,l,2,-82.85190512,-171.949324,3,1371
4.310322704,l,1,-79.93839775,-155.3541397,3,14
4.010610801,pair,1,-79.93726532,-155.3552112,3,14
3.73636109,pair,3,-82.85097802,-171.9445473,3,426
3.526977896,r,3,-82.85085893,-171.9476932,3,426
3.396487417,r,1,-79.75450111,-163.3049154,5,1105
3.360377464,r,3,-82.87698942,-171.7534723,5,868
3.340726047,r,2,-77.38361897,-152.7276705,3,571
3.153860997,pair,2,-77.72522833,-149.3333501,3,327
3.138052858,l,1,-81.48334883,-163.783911,4,502
3.123675374,r,2,-80.04932304,-150.0525155,4,571
3.090730072,r,1,-81.4857458,-163.7936277,4,502
3.061943718,pair,2,-80.04974931,-150.0541532,4,571
3.046815136,r,2,-77.72480387,-149.3317281,3,327
2.911402607,pair,2,-76.02540734,-147.4984333,3,83
2.838836497,r,1,-82.85054338,-162.352913,6,639
2.828691669,l,2,-80.02077414,-150.1788653,3,974
2.815830311,pair,2,-77.18898309,-145.5720774,2,1294
2.782244903,pair,1,-81.48463384,-163.7889126,4,502
2.730173601,l,1,-83.49909674,-159.0795925,5,846
2.719855718,l,3,-82.83804032,-162.823117,6,639
2.678700845,pair,3,-82.83911089,-162.8292713,6,639
2.65166888,pair,2,-80.02085739,-150.1815083,3,974
2.648999294,l,1,-82.85026436,-162.3453254,5,639
2.64862593,r,1,-79.15532323,-152.0295577,6,632
2.632692513,r,3,-82.83709211,-162.8822708,5,587
2.628639764,pair,3,-77.13667915,-155.2771092,4,197
2.528174754,l,3,-81.45615887,-163.8983222,5,944
2.525879907,l,2,-82.27346856,162.8562678,2,671
2.506801974,r,2,-82.8500115,-162.345482,5,1081
2.494636837,l,1,-79.15583398,-152.0335145,5,632
2.484794206,l,1,-85.18835653,-154.257581,5,526
2.47197873,pair,3,-82.83789493,-162.8837976,5,587
2.464127622,r,2,-82.82722907,-163.1594747,5,587
2.463463134,r,2,-80.03853245,-150.2061575,3,974
2.460162594,l,3,-82.83835702,-162.8861643,5,587
2.454849868,l,2,-82.82832088,-163.1638193,5,587
2.425703823,pair,2,-82.82786036,-163.1614422,5,587
2.423537382,pair,3,-80.05773185,-149.8647556,4,571
2.404358244,pair,2,-82.8503049,-162.3425988,6,1081
2.383676149,pair,2,-84.64177543,-163.0181129,6,572
