beam,beam_pair,lat,lon,repeat_cycles_no,track
r,2,-82.29108716,-62.36790208,4,918
r,2,-80.86847046,-54.01062103,5,284
l,3,-81.90751525,-43.17321697,4,1222
r,2,-79.23622804,-79.44805615,5,590
r,1,-80.63262091,-33.96369534,4,307
r,1,-80.87218165,-51.2265662,3,543
r,3,-79.20058003,-32.25614199,5,63
l,1,-81.09805534,-39.7850712,5,353
r,3,-79.29247431,-76.82029109,5,1291
l,2,-80.72518597,-71.69943243,4,300
r,3,-82.3137665,-54.8152934,6,811
r,3,-79.04666722,-82.26220409,3,1276
r,3,-80.71166695,-59.95816644,6,994
l,1,-81.64036499,-42.01871396,5,597
l,1,-79.96881902,-43.40537059,6,978
r,1,-79.16999673,-67.93184964,5,979
r,3,-80.37167484,-63.29179433,5,293
l,1,-80.42346049,-64.86631088,6,1199
l,2,-81.69814824,-64.5508035,4,537
l,1,-79.53635011,-69.61435911,3,217
r,3,-80.8577881,-62.4943097,6,10
l,1,-79.23211123,-79.7927142,5,1093
r,3,-80.82630688,-62.70673611,6,955
r,3,-80.9746935,-60.85555358,4,330
l,2,-82.50001504,-62.45071179,4,34
r,3,-81.97791869,-65.70357659,5,574
l,1,-79.92926808,-59.81108999,4,872
r,3,-80.73500461,-35.32403073,4,207
l,2,-80.45138014,-62.85563576,6,1177
l,2,-80.99647981,-36.62300221,4,109
l,2,-80.61848185,-35.35759228,5,429
l,2,-79.33936881,-36.22374345,5,893
r,3,-81.92320945,-49.10916177,4,765
r,3,-81.47489298,-65.56262303,5,635
l,2,-80.87290748,-53.752283,3,726
r,3,-79.60126965,-31.24416224,5,466
l,2,-79.82759954,-43.0152646,5,1381
l,1,-81.99182219,-50.48593776,5,802
l,2,-80.89337919,-52.74480348,4,1107
l,2,-80.50900291,-33.5096737,5,1030
r,3,-79.96105145,-59.70706759,3,1275
r,3,-80.66100918,-59.77227386,4,49
r,1,-80.59155972,-65.70289364,4,476
l,1,-79.76266004,-66.11694035,5,437
l,2,-82.17759106,-54.03644366,4,247
l,1,-80.29210221,-30.17971953,4,344
l,1,-80.47221642,-76.34497707,5,1169
l,1,-81.56612858,-41.88606202,6,1039
r,3,-80.5162727,-32.70812981,6,688
l,2,-80.81560661,-74.16480328,4,483
l,2,-82.15974287,-46.02347151,3,79
r,3,-79.14740016,-31.01470853,6,886
l,1,-79.82434127,-65.67040415,4,1321
r,3,-80.02477138,-65.82327846,6,918
r,3,-80.415625,-44.99499598,5,1000
r,2,-79.07155629,-71.24632412,4,781
l,3,-79.23191803,-79.86336686,2,148
l,3,-79.29819261,-67.98754986,5,95
r,2,-80.80011371,-62.87858094,5,293
l,3,-79.35655836,-35.11231975,3,329
r,2,-80.85945725,-74.73103332,2,766
r,1,-83.19281011,-58.18783702,5,735
r,1,-82.4901426,-55.64561135,4,665
r,1,-80.94647766,-61.30168666,4,171
l,3,-80.7635609,-75.06017767,4,544
r,2,-80.1394399,-59.6262765,4,430
r,2,-82.16626003,-60.80471592,5,1238
l,1,-80.27563948,-30.55243816,3,2
r,2,-79.83255634,-76.36074197,3,324
l,3,-82.39052517,-44.01220114,6,902
r,2,-80.02597153,-78.46059903,4,507
l,3,-79.37476801,-68.16108378,4,1040
l,3,-83.00852663,-62.03764685,5,1040
r,1,-80.34300602,-44.48557521,4,1100
r,2,-79.33445199,-68.39966942,2,178
r,1,-80.37455745,-44.70419623,5,658
r,2,-82.49479806,-62.12286802,5,1153
l,3,-83.04055591,-61.43648466,4,537
r,2,-80.57141839,-59.81127928,4,772
l,3,-83.12598586,-61.03099507,5,467
l,2,-79.38033901,-68.32236229,4,1040
r,2,-82.38706028,-65.00552712,5,10
l,3,-82.47082998,-45.70008431,3,314
r,2,-82.33929093,-65.16423391,4,955
r,1,-79.11273413,-30.62932461,4,24
l,3,-79.62308982,-71.50940436,4,400
r,2,-80.63231053,-63.27049881,5,574
l,3,-80.43486213,-31.78732539,3,1069
r,2,-80.1349904,-59.4887008,2,330
r,1,-80.13576231,-76.95053847,4,788
r,2,-81.58064947,-63.97686602,4,513
l,3,-82.17979933,-53.90442038,4,543
r,2,-80.58836718,-33.36583844,6,85
r,2,-80.57405962,-54.37295306,4,64
r,1,-79.73696166,-67.1296582,4,56
r,1,-80.51652581,-45.81257325,5,1222
r,2,-79.96562895,-79.51238495,4,529
r,2,-80.42933461,-66.62230035,4,1321
r,2,-80.11556489,-78.86671948,5,1010
r,1,-80.63483248,-49.02597294,5,1024
r,2,-80.60549884,-63.75147685,4,1077
r,1,-80.87838679,-53.56991554,3,726
r,1,-82.31092079,-54.7512545,4,162
r,2,-81.1838784,-40.74303562,5,131
r,2,-80.26615342,-30.11680215,6,444
r,1,-79.26919104,-34.06953619,2,185
l,3,-80.85460823,-75.71412482,5,1047
r,1,-79.53964392,-30.39656227,5,383
r,1,-82.48974462,-46.56513284,4,878
r,1,-80.27220526,-43.91621329,5,497
r,1,-79.15672397,-50.39855627,5,1107
l,2,-81.00712217,-39.98410519,4,1298
r,3,-80.73731532,-71.86215905,5,80
l,2,-80.26656494,-65.88331342,4,818
l,1,-82.33946376,-65.18195409,5,513
l,1,-79.23090413,-33.08545648,5,207
l,1,-82.2733775,-62.71194177,4,330
l,1,-81.91602313,-65.13282475,5,574
l,2,-80.67610261,-65.14338958,3,254
r,1,-81.15813674,-39.94631639,4,1298
l,1,-81.53983907,-63.16941244,4,10
l,1,-81.55239347,-63.44953478,4,955
r,3,-79.50272781,-80.43131759,5,1093
r,3,-81.309423,-66.81912574,5,217
r,3,-79.7776125,-60.25953155,4,1336
l,1,-80.83354551,-73.93118662,2,1147
r,3,-80.2267098,-43.75257098,4,597
r,3,-81.25882703,-41.19706974,5,978
r,3,-81.96821948,-65.94377703,3,132
r,3,-82.29275499,-62.18751994,6,711
l,2,-79.19723786,-30.35136147,3,825
l,3,-79.27529975,-77.09654565,5,1269
l,1,-79.76028458,-31.96578249,5,63
l,2,-79.66182111,-71.37665806,4,842
l,1,-79.28583081,-76.89778941,5,766
l,1,-81.57844927,-63.93604359,5,918
r,3,-79.77118178,-65.96031161,4,1321
l,2,-79.68455311,-66.15865631,6,1360
l,1,-82.02796081,-47.18222733,4,1000
l,1,-80.44070879,-64.09557419,3,796
l,1,-80.27205173,-30.03750736,6,886
l,2,-82.20286979,-53.45998473,5,985
l,3,-79.76545613,-65.88935643,6,1360
l,1,-79.35149104,-34.50425069,6,688
r,3,-82.12392296,-52.35102788,4,125
r,3,-80.29170329,-76.47903549,5,1169
l,1,-81.55560821,-62.6769356,4,354
l,2,-80.62873845,-47.43280293,6,1183
r,3,-80.18053604,-43.55352939,5,1039
l,2,-80.86121258,-50.8817087,4,40
r,3,-80.00168282,-30.17431164,4,344
r,3,-79.25907376,-77.56179891,3,1352
r,3,-79.33787229,-36.13368046,5,1335
r,3,-79.57824588,-67.40442319,4,537
l,1,-80.1231205,-59.54784495,3,1275
r,3,-79.45735571,-81.15769737,6,1154
l,2,-80.18696424,-78.22975042,4,407
r,3,-82.34937842,-64.08577356,3,156
l,1,-79.58121805,-66.96884506,4,476
r,3,-80.62592232,-48.66274285,5,802
r,2,-79.56752134,-67.58753929,4,537
l,1,-80.99261932,-36.56781992,3,551
l,2,-80.29873997,-76.04044375,3,224
r,3,-81.2303894,-67.4676369,5,720
l,2,-80.73343693,-54.41161991,6,1009
l,1,-80.87051159,-51.29173565,4,765
l,2,-80.4359702,-75.96403112,4,666
l,3,-79.98621528,-77.11609359,5,788
r,2,-80.04748056,-79.47259857,3,126
r,1,-79.34735522,-33.46535004,3,1069
r,1,-81.69413326,-64.2492756,4,34
r,1,-80.86910836,-74.65298983,6,1208
r,1,-81.00097201,-70.04596056,4,400
l,3,-79.60142986,-31.49935986,5,24
r,2,-82.02542549,-65.75383221,4,217
r,1,-79.24616379,-78.49332536,4,888
l,3,-81.67524237,-42.0454287,4,1100
l,3,-81.717864,-42.22795921,6,658
r,1,-81.34453224,-41.57486367,4,192
l,3,-80.89109766,-74.99082143,6,986
r,1,-82.85341068,-62.92572749,4,1040
l,2,-81.80473844,-65.13703302,6,598
r,1,-80.63362934,-47.4698282,4,902
r,2,-80.60358372,-63.48942365,4,132
r,1,-79.66995831,-66.27287875,5,1382
l,3,-80.88847792,-62.29782672,5,735
l,3,-80.88898524,-53.19440959,4,665
l,3,-82.82594535,-57.29971661,3,171
r,1,-79.15022867,-69.07420537,4,1184
r,2,-81.39505656,-41.69816824,6,94
r,1,-79.20819585,-35.95214792,5,1252
l,3,-79.76127703,-60.18242784,5,1375
r,2,-79.04350385,-34.40429318,5,1130
r,1,-80.81788606,-74.2384508,4,41
r,1,-79.36133796,-34.78792179,3,329
r,2,-80.16690326,-43.49320319,5,94
r,2,-79.26959994,-34.16286037,5,1130
l,3,-79.7070695,-60.24732728,4,1375
r,1,-79.23392187,-79.5403095,2,148
r,3,-80.29315109,-30.15761836,3,2
r,1,-79.72789138,-66.33998267,5,1382
l,2,-79.25901578,-77.53861454,4,827
r,1,-82.3453788,-44.57413547,6,902
r,1,-80.61414456,-70.83808391,5,1184
l,3,-80.96548355,-60.88317778,4,171
l,3,-83.09354941,-57.9234734,5,735
l,3,-80.33042052,-44.39818431,5,658
l,3,-80.29839393,-44.18137571,5,1100
r,2,-80.7731124,-72.52219156,2,583
r,1,-82.9869445,-62.60350341,5,1040
r,1,-81.77043171,-64.114126,4,34
r,1,-80.45545991,-32.12767143,3,1069
r,2,-79.94226063,-79.603098,4,126
l,3,-80.16182169,-77.340795,5,788
r,2,-82.28604184,-65.23371756,3,217
l,3,-81.11084708,-39.88269566,6,856
r,1,-83.06784406,-61.88361737,4,537
l,3,-79.14123074,-30.98149889,4,24
l,2,-80.14091295,-52.61866218,5,1268
r,3,-81.98614066,-50.93065603,5,802
l,1,-79.44833007,-67.11748202,4,476
r,3,-81.92826015,-64.93710043,3,156
l,2,-80.03636598,-78.03817265,4,407
l,2,-80.52026041,-76.07954146,4,666
l,2,-82.06623305,-46.98736382,5,140
l,1,-81.96981652,-66.01189414,6,635
l,1,-81.95615674,-49.49924046,4,765
l,1,-79.87237618,-61.17812439,3,49
l,2,-80.5827665,-75.12823496,5,1047
r,3,-81.40585063,-41.73143142,6,1039
l,2,-81.95699886,-49.60628823,5,1183
l,2,-79.29161825,-67.64110675,5,979
l,1,-80.64079414,-64.08223741,5,354
r,3,-80.42066952,-76.65354658,5,1169
l,1,-80.53560569,-33.06359506,5,688
l,3,-79.64431272,-66.03385817,6,1360
r,3,-79.7151307,-66.41224534,5,437
l,3,-80.0637159,-66.03854079,4,476
l,2,-79.34357544,-35.44963865,5,832
r,2,-82.0473203,-47.45175692,4,1000
r,3,-80.27709098,-30.53177894,4,344
l,2,-82.18154465,-53.15829899,4,40
l,1,-80.34938439,-44.53033732,5,1000
l,1,-80.62550914,-65.40129653,6,918
l,1,-80.17790813,-52.87025608,4,284
l,2,-80.86935133,-51.15279852,3,985
r,3,-81.72955809,-62.89966458,4,391
r,3,-79.60792492,-30.9920378,3,908
l,1,-79.27137875,-77.17296499,3,324
r,3,-81.87684362,-65.76902714,3,132
r,3,-81.01738477,-39.5039323,4,353
l,1,-79.65332825,-32.08989851,5,63
l,2,-79.08714823,-30.46841499,3,825
r,2,-80.43012089,-62.47214995,6,71
r,3,-79.20988126,-67.3910197,3,559
l,1,-80.46560954,-63.542433,5,293
r,3,-80.41731246,-65.23551072,6,1199
r,3,-79.70598443,-60.17345491,4,1336
l,1,-79.04584103,-81.93268558,3,1276
l,2,-79.70805479,-70.80355004,3,339
r,3,-79.92718512,-43.09738743,6,978
r,3,-81.47500838,-41.87284262,5,597
l,2,-82.52832945,-55.89672918,4,1375
l,2,-81.39315852,-66.24651715,3,254
l,1,-80.91412699,-60.36376803,3,330
l,1,-80.64043467,-34.80096636,5,207
l,1,-81.91572707,-64.35419092,5,513
r,3,-79.31000917,-69.52656738,3,217
l,1,-82.67495261,-63.31072642,4,772
l,2,-80.76075885,-75.12222284,4,102
l,1,-80.88024154,-62.39001922,5,955
r,3,-79.57946723,-80.52031557,5,1093
l,1,-80.89438327,-62.15166686,6,10
l,1,-79.14240035,-68.02398477,3,178
l,2,-80.38154055,-66.03565851,6,818
l,2,-80.48952168,-53.97546636,3,948
l,2,-80.89037536,-52.10491264,5,384
l,2,-80.85189527,-35.8003633,4,490
l,2,-81.0984374,-39.84332006,4,1298
l,2,-80.43256197,-64.5460687,6,696
l,3,-80.81629238,-75.65690919,5,1047
r,1,-79.14299672,-34.20344122,2,185
r,1,-79.7263021,-51.02868208,4,1107
r,1,-81.9427304,-46.50857247,5,497
r,1,-79.12296025,-30.84867251,5,383
r,1,-80.89281208,-52.29458265,2,162
r,1,-82.76305787,-57.03062444,2,726
l,3,-82.26664949,-43.49576213,5,841
r,2,-81.19950258,-67.75306469,3,1321
r,2,-80.01980662,-79.57962559,5,529
r,1,-82.15579859,-43.13783542,4,1222
r,2,-79.99679439,-79.01599291,5,1010
r,1,-79.50201782,-50.1774526,6,79
r,1,-81.11173027,-68.45086154,5,940
l,3,-80.61927775,-33.60691325,4,307
l,3,-80.81317143,-74.35062522,6,1208
r,1,-79.63226912,-31.1975792,5,24
r,2,-81.91480001,-64.32102371,5,955
l,3,-80.10959734,-52.36564236,4,223
l,3,-79.25234273,-78.16044546,4,888
r,1,-81.07666453,-40.33233521,6,856
r,2,-80.6164083,-59.87429578,4,772
r,2,-80.81844884,-62.76024861,4,513
r,1,-79.94772532,-76.71825427,5,788
l,3,-79.23000141,-33.26622325,3,1069
r,2,-81.55055631,-64.70268182,5,574
l,3,-82.49804723,-63.2518011,5,1040
r,1,-80.86417822,-74.56434581,5,986
r,2,-82.79143727,-62.79721255,5,1153
r,1,-81.78183455,-42.54222113,6,658
r,2,-79.40184681,-68.47446934,2,178
r,1,-81.74087239,-42.35513461,3,1100
r,2,-79.24273293,-80.23356638,5,651
r,1,-79.0841224,-30.6298632,3,825
r,1,-82.97381543,-57.44301488,3,171
r,1,-80.88324962,-52.79899612,4,665
r,1,-80.81571635,-62.79074136,5,735
r,2,-80.61609006,-75.08171799,2,766
r,2,-80.15760376,-78.29389725,5,507
l,2,-79.28293193,-68.17018776,5,95
l,3,-80.62114086,-47.11137012,6,902
r,2,-80.74897475,-75.15261422,3,324
l,1,-79.49677519,-68.10190324,5,95
l,1,-79.91816011,-30.99900541,4,2
r,2,-80.60513179,-63.41687131,5,1238
r,1,-79.74934632,-60.5388493,4,1375
l,3,-79.17616572,-35.66244485,5,1252
r,2,-83.19081649,-58.18527624,5,293
l,3,-79.36434635,-67.91377068,5,95
r,3,-79.5242112,-30.59345999,5,886
l,2,-82.48569237,-45.34426554,5,79
l,1,-79.29927005,-30.30291375,4,908
l,1,-80.45590632,-63.35258736,5,1077
r,1,-79.93715302,-66.80713687,4,34
r,3,-81.95188545,-47.49157685,5,1000
l,1,-79.87456791,-65.73022042,4,1321
r,3,-80.41608671,-65.30786717,6,918
l,1,-79.64190798,-65.97703859,5,437
r,1,-81.56659743,-64.20984553,6,476
r,3,-79.36016774,-34.15564433,6,688
l,1,-80.24419408,-43.84022217,5,1039
l,2,-80.72268135,-75.58601164,5,605
l,1,-82.16958447,-52.72472225,4,125
l,1,-79.52384713,-80.88988547,6,1154
r,3,-80.12204543,-59.91213144,3,1275
l,2,-79.67236686,-32.44842984,5,1030
l,2,-79.40134131,-43.04164564,5,497
l,2,-82.51522343,-55.67433429,6,1107
l,1,-79.26878094,-77.23689778,3,1352
l,2,-80.81610998,-50.03640059,5,1366
l,1,-79.35081292,-35.80995957,5,1335
r,3,-80.59505118,-59.86650413,4,49
r,3,-80.73844793,-64.39384088,5,635
r,3,-80.86168305,-50.90803003,5,765
l,1,-80.63600715,-48.2904993,5,802
l,1,-81.38380966,-66.33710204,3,156
l,2,-83.62302426,-60.60181868,6,1040
r,3,-82.08577331,-52.1669194,2,567
r,3,-81.56510961,-63.90261974,5,955
r,3,-81.55794951,-63.63057247,4,10
l,2,-81.77750642,-64.40816427,4,537
r,3,-80.68885632,-35.25688428,4,207
l,1,-80.12062511,-59.57548965,4,872
r,3,-81.89087164,-65.53608402,5,574
l,2,-82.9459845,-61.41545128,4,34
l,2,-79.24682557,-78.41671594,6,971
r,1,-79.21842324,-67.88066794,5,979
l,1,-81.32487319,-41.50688378,5,978
l,1,-80.27979667,-44.05408942,4,597
l,1,-79.76711011,-59.89442676,4,1336
l,2,-79.69530895,-70.36181977,5,300
r,1,-79.26161621,-77.43782404,5,1269
l,2,-81.15370618,-40.27666073,4,414
l,2,-80.88774048,-75.04932887,4,544
l,1,-80.99991371,-39.9341633,5,353
r,3,-79.53336789,-31.88204375,5,63
l,1,-82.23783786,-61.60190773,6,711
r,2,-79.35952129,-34.69330597,6,771
r,3,-81.17862695,-67.92283093,3,1321
r,1,-82.20364585,-53.49720681,5,543
r,1,-79.35154676,-35.53860149,4,307
r,2,-82.32488018,-60.99986324,4,354
r,2,-80.59867079,-63.68586427,4,796
l,3,-80.62618015,-48.66228888,5,1024
l,3,-80.47798524,-45.49527965,5,1222
r,2,-81.71964474,-63.46806338,5,918
l,3,-79.10234213,-30.80849431,4,1328
l,3,-82.48222665,-55.58362853,5,162
l,3,-80.87060656,-53.94486891,3,726
r,3,-79.28942331,-66.69422633,4,918
l,3,-82.107414,-46.23434173,4,878
l,3,-79.47642982,-30.13400367,5,383
r,2,-80.62973849,-70.79098272,5,239
r,2,-79.24291928,-78.93611406,5,87
r,1,-80.88491673,-75.37295541,5,1047
l,3,-79.35981964,-33.64218053,2,185
r,2,-80.05436948,-65.96483092,6,918
r,1,-80.86232809,-50.95231183,3,985
l,2,-79.39954326,-67.52223766,5,979
r,2,-79.14361077,-31.18262625,6,886
l,3,-80.81821027,-74.36330349,4,483
r,1,-81.97381269,-49.42063667,5,1183
r,2,-80.62190748,-63.91290984,4,354
r,2,-80.53345128,-32.87279728,6,688
l,3,-82.22535968,-53.7080691,5,247
r,1,-82.18168214,-52.93472857,4,40
r,2,-79.82201435,-61.0583539,3,49
l,3,-82.14672377,-52.53932448,4,1366
l,3,-80.89297746,-52.94049592,4,1107
l,3,-80.51216278,-33.70226353,5,1030
r,1,-80.18390155,-52.73996294,5,1268
l,3,-80.08906736,-43.51780544,5,1381
r,1,-80.03052403,-77.85721714,4,407
l,3,-79.75624297,-51.14711046,2,162
r,2,-81.95739463,-66.21841202,6,635
r,2,-81.95597984,-49.26984714,4,765
l,2,-80.44068911,-31.96605228,3,1069
r,3,-80.60518618,-63.422428,5,574
l,1,-79.75450299,-60.01862279,5,872
l,1,-82.27691444,-65.49209912,3,217
l,2,-83.05990436,-61.64867612,4,537
l,2,-79.65202965,-76.05978227,6,1208
r,3,-82.27793546,-65.27051974,4,955
l,2,-82.51359258,-45.55358818,3,314
r,3,-82.30957661,-65.07733703,5,10
l,2,-82.07536252,-43.08757717,3,192
r,3,-82.49226848,-62.35817635,5,1153
r,1,-79.13958384,-67.9637895,4,979
l,1,-80.85547395,-72.60254984,2,583
r,3,-79.80149771,-76.22377612,3,324
r,3,-80.16320684,-59.41456597,5,430
r,1,-81.00456014,-37.06327402,6,1054
r,3,-80.03485005,-78.27064992,4,507
l,1,-81.80674699,-65.19288199,4,132
l,2,-82.43599861,-44.153038,6,902
r,3,-80.85751758,-74.53818827,4,766
l,2,-80.61370465,-71.02225441,4,1184
l,2,-79.3595033,-34.94859203,3,329
r,3,-80.84105616,-62.62355399,5,293
l,1,-82.34346194,-63.8932571,2,1336
l,1,-80.21827368,-43.6141015,5,94
r,3,-79.04726223,-71.10942658,4,781
l,2,-79.23181521,-79.69849687,2,148
l,1,-79.25353993,-34.35022412,6,1130
r,3,-80.955045,-36.95192703,5,771
r,3,-82.28655064,-62.14325359,4,918
l,1,-80.04515506,-79.42747829,5,529
l,1,-81.22239581,-67.58031257,3,1321
r,3,-79.23386838,-79.61066424,5,590
l,2,-82.02170688,-43.17816018,4,1222
r,3,-80.86167866,-54.19592547,5,284
r,1,-79.45918478,-67.36036054,3,34
l,1,-81.97766427,-65.76687275,6,1077
r,3,-82.16971969,-60.82721656,5,796
l,2,-81.97035115,-46.65289242,5,1024
l,2,-79.23873604,-50.30430063,6,79
l,1,-79.9808177,-79.21840281,5,1010
l,1,-81.0850962,-40.38202384,5,131
l,2,-83.39992871,-58.91570067,3,726
l,1,-80.99050835,-39.97910781,5,573
l,2,-82.38640565,-44.50052714,5,253
l,1,-79.95631689,-30.69312768,4,444
l,3,-79.76657511,-59.9168109,4,430
r,3,-82.33561123,-63.57518969,4,1275
l,2,-82.01202518,-46.85791536,5,497
l,2,-79.30991718,-30.48826746,5,383
r,3,-79.21439676,-69.2123105,4,239
l,3,-80.61184599,-35.17657502,5,429
r,1,-80.54848057,-54.07780043,3,948
r,1,-80.90108744,-52.28026299,5,384
r,1,-80.88201486,-35.94637421,5,490
l,3,-80.43669756,-62.68895917,6,1177
r,1,-80.43601815,-64.36929516,6,696
r,1,-81.41751259,-66.08432948,3,254
l,3,-82.4981817,-62.21385675,4,34
r,2,-80.61721103,-34.96386528,5,207
r,2,-81.9162671,-64.58388396,5,513
l,3,-81.91086668,-63.93908898,4,537
r,2,-80.85009479,-62.54675259,6,955
r,2,-80.88522323,-62.33956196,6,10
r,2,-80.38944798,-63.45315905,5,293
l,3,-80.29793675,-66.77134405,4,95
r,2,-79.07583876,-82.1307095,3,1276
r,1,-82.50194574,-62.41718434,4,269
r,1,-79.67026258,-71.01532047,4,339
r,1,-82.56584393,-56.04989198,4,1375
r,1,-80.99807928,-69.79038007,3,842
r,2,-79.22790375,-32.39113807,5,63
l,3,-81.07331234,-40.20154969,4,414
r,1,-79.30768223,-30.3930617,4,825
l,3,-81.45682246,-65.79723302,3,156
l,2,-82.12274951,-52.26237516,4,1366
l,3,-80.70730461,-54.25687427,6,1009
l,3,-80.40861283,-76.11299997,4,666
r,2,-80.62840085,-48.47570283,5,802
l,3,-80.152428,-78.36627264,4,407
l,3,-80.26606594,-76.18054168,5,224
r,2,-79.48775529,-81.02327893,6,1154
r,2,-82.37680483,-64.78467141,5,659
r,1,-79.6764423,-32.28572164,5,1030
r,1,-79.48283372,-42.96856941,6,497
r,1,-82.49838172,-55.40345908,6,1107
r,2,-79.26248043,-77.40033985,2,1352
r,1,-80.80070651,-49.82537311,5,1366
r,2,-79.34691602,-35.97702523,5,1335
r,2,-80.16708336,-30.20564015,4,344
l,3,-80.86552184,-51.08353973,4,40
r,2,-79.66175463,-66.1766974,5,437
l,2,-80.39977239,-65.78108245,4,476
r,2,-80.21491818,-43.69065057,5,1039
l,3,-80.64604979,-47.64821214,6,1183
r,1,-80.72701484,-75.40499828,5,605
r,2,-82.14617242,-52.53546384,4,125
r,1,-82.50826127,-45.52930398,5,79
r,2,-79.30814923,-30.4832753,3,908
l,3,-82.21403767,-53.7142272,5,985
r,2,-79.76458085,-65.77854903,4,1321
r,3,-79.17049087,-34.10566654,5,1130
l,2,-79.72117984,-60.4035791,4,1375
r,3,-81.34416775,-41.5756311,6,94
r,3,-79.5555917,-67.78055377,3,559
l,2,-82.86434289,-57.46014029,3,171
l,2,-80.88192924,-52.98761801,4,665
l,2,-80.85243866,-62.54735294,5,735
l,1,-80.14278614,-78.49868028,4,507
l,3,-81.8091085,-64.9094981,5,598
l,1,-80.72694806,-75.38227524,3,324
l,1,-80.59550009,-63.62528365,5,1238
l,2,-80.88907042,-74.79141945,6,986
l,1,-82.95192967,-62.92135221,5,1153
l,2,-79.94377289,-65.47315064,6,818
l,2,-81.751199,-42.38519423,6,658
l,2,-81.71233323,-42.19504085,4,1100
l,1,-79.37851839,-68.27654656,2,178
l,2,-79.58949702,-31.31458989,5,24
l,2,-81.0636,-40.15755244,6,856
l,1,-80.6556367,-59.73327088,4,772
l,1,-80.84301863,-62.59592059,4,513
l,2,-79.96737984,-76.91472454,5,788
l,1,-81.56574252,-64.51059504,6,574
l,1,-80.95629202,-60.68585071,3,1275
l,1,-80.64063609,-70.61055238,4,239
l,1,-80.01682574,-79.65236246,5,87
l,1,-82.50658119,-55.14688862,3,369
l,2,-80.87007555,-75.54141796,5,1047
r,3,-79.92243672,-66.99017917,4,537
l,1,-80.46398566,-63.62346998,4,635
r,2,-80.46472214,-66.46679158,4,537
l,1,-80.30418987,-66.0923149,4,476
r,3,-81.18688855,-40.95085955,5,131
l,1,-81.69424936,-62.17823743,3,796
r,3,-80.13691286,-78.65876325,5,1010
r,3,-80.6292454,-63.97557695,5,1077
r,3,-80.39016233,-66.75497782,4,1321
l,1,-82.4830836,-62.20805279,5,918
l,1,-79.35154816,-34.51289741,6,771
l,2,-82.21258436,-53.74013217,5,543
l,1,-79.43478287,-76.2164202,5,263
l,2,-79.34815526,-35.38005016,4,307
l,1,-82.35119808,-61.18705476,4,354
r,1,-79.63045074,-70.11956593,5,300
l,3,-79.4001683,-29.96142353,3,825
r,1,-81.16925279,-40.44916127,4,414
r,1,-80.89168554,-74.86442108,3,544
l,3,-79.91409444,-30.91006869,4,947
l,3,-79.65383621,-71.21380241,4,842
r,1,-79.48819158,-69.69915154,3,742
r,2,-82.25832784,-61.88228287,6,711
l,3,-82.69352097,-63.32858331,5,269
l,3,-81.08003881,-68.75205042,5,339
r,2,-81.29619955,-41.34153736,5,978
r,2,-80.25432486,-43.89893984,4,597
r,2,-79.7518332,-60.05480966,4,1336
l,1,-79.75564275,-65.72967248,3,857
r,1,-82.34778863,-63.52435733,5,537
r,2,-80.16470271,-59.33377873,4,872
l,3,-80.6527654,-65.30159726,2,254
r,1,-83.03975882,-61.43439936,4,34
r,1,-79.2496377,-78.25901313,5,971
r,1,-83.63640501,-60.84087735,6,1040
r,2,-80.75321916,-72.03198448,5,80
r,2,-80.63894896,-70.63747073,4,1345
r,1,-80.45988541,-63.02580102,6,1177
l,3,-80.42692253,-64.72473274,6,696
r,1,-83.48440141,-61.28546015,6,1040
l,3,-80.41539396,-53.8898804,3,948
r,1,-80.73862605,-35.37357563,5,429
l,3,-81.04127523,-39.7321432,4,1298
l,3,-80.77471274,-35.71954482,4,490
l,3,-80.88651377,-51.91448095,4,384
r,1,-81.91493062,-64.37046967,4,537
l,3,-80.74363697,-75.29031423,4,102
r,2,-79.36670367,-69.63031762,3,217
r,1,-79.32865547,-76.58718277,6,1208
r,2,-79.23055732,-79.96068343,5,1093
r,1,-82.49257777,-62.70069767,4,34
l,3,-81.36627963,-66.40953952,3,254
r,2,-79.91565042,-59.64600938,4,872
l,2,-79.88419081,-59.6902411,4,833
l,3,-82.50387293,-55.70926193,4,1375
r,2,-81.6175173,-41.83814567,5,597
r,2,-79.98358425,-43.20487914,6,978
l,3,-79.69952619,-70.64071998,3,339
l,3,-82.49724075,-62.88179872,4,269
r,2,-79.23842533,-67.25730654,3,559
r,2,-80.41842911,-65.05088267,6,1199
r,2,-81.04214439,-39.66518558,5,353
r,3,-80.43594558,-62.66654921,6,71
l,3,-79.28480449,-30.09046481,4,825
r,3,-80.88683634,-73.45599684,2,1147
r,1,-80.73125147,-71.52106266,4,300
r,1,-79.42198593,-69.62607612,4,742
l,1,-80.90832558,-36.4819037,5,771
l,1,-83.38541688,-58.71587306,5,354
l,2,-79.87056146,-66.97538094,6,979
l,2,-80.63233996,-33.77887693,4,307
r,3,-80.00151461,-78.83192511,5,1010
l,1,-79.58781207,-30.86612865,5,886
l,1,-82.1981062,-61.23788641,5,796
l,1,-79.15506919,-43.12806283,5,1000
r,3,-79.24378703,-78.84282387,4,529
l,1,-82.91840475,-61.21986477,5,918
l,3,-79.85201678,-66.82230471,6,979
l,1,-79.23831258,-79.28073486,5,590
l,2,-82.3056786,-43.64859525,5,841
r,3,-79.15464887,-31.26652294,5,444
l,1,-80.38720286,-65.98347176,4,476
l,1,-79.01022103,-68.66545373,4,239
