beam,beam_pair,lat,lon,repeat_cycles_no,track
r,2,-70.08128185,67.85432582,5,89
l,1,-71.54131481,68.74039274,5,20
r,1,-72.40250374,69.14980768,4,1346
l,2,-70.56215487,72.18336276,3,226
r,2,-69.90428229,69.01629851,4,965
r,1,-69.76404333,68.17063052,5,973
l,1,-70.26669591,71.72285827,5,1171
l,2,-68.87075309,69.76318124,2,1293
l,3,-71.52404966,68.76941192,4,531
r,2,-70.89688892,71.79660767,3,729
l,1,-69.32311724,69.05056003,4,523
r,1,-69.90398775,74.55699239,3,538
r,2,-68.98867986,69.5960606,5,20
l,2,-73.26295797,67.37901889,5,1156
l,1,-72.28436133,68.63996834,5,89
r,2,-69.70308822,69.08860747,4,965
r,3,-68.87358514,69.55064552,5,20
r,1,-72.06747684,70.0750754,5,1285
l,2,-69.79196073,73.4555452,4,104
r,3,-69.34299316,69.12908484,4,965
l,2,-71.09596068,68.7590002,4,973
r,3,-72.52619101,68.11289994,5,20
r,1,-72.43381861,68.96830697,6,531
r,1,-71.75981585,71.01297946,4,348
r,1,-71.44931592,70.88506556,4,348
r,2,-73.18169566,67.86142251,6,653
r,2,-72.02394694,69.73534477,5,843
r,1,-71.21823401,68.45675781,6,531
r,3,-71.11022488,68.72357645,5,20
l,2,-69.9983873,73.01115293,4,607
l,3,-72.43656253,68.93587277,4,1346
r,3,-70.00082148,67.65422861,5,1034
l,1,-72.39250128,69.41658562,5,401
r,2,-68.57009022,69.73531299,4,20
r,3,-69.56334381,69.05118897,4,965
r,3,-68.74263605,69.59479206,4,20
r,2,-69.78845837,69.05809103,4,965
r,2,-69.13734166,69.54558632,4,20
r,2,-69.88019183,74.78746832,3,927
l,1,-69.56211664,68.96807909,4,523
r,2,-70.80449995,71.76037044,4,729
l,3,-72.43517317,69.16775061,6,531
r,2,-69.32090522,68.88073643,4,912
r,2,-70.3019862,68.86994967,4,965
l,1,-72.25690058,68.4375334,5,20
l,3,-72.27558737,69.78768102,5,1285
l,2,-70.5160472,68.27375037,4,531
r,3,-70.46572929,72.61197961,5,660
r,2,-70.55297172,72.15054957,5,1163
l,2,-69.6065643,69.23813596,4,1354
r,3,-69.38814668,68.8535401,3,523
l,3,-69.89346177,74.38670134,4,538
r,3,-72.24541993,68.82502238,5,89
r,3,-71.28603504,68.41370571,5,89
r,2,-71.41905015,71.22754235,4,790
l,2,-72.06222064,70.19936256,5,1354
r,3,-70.06899656,72.76161116,5,660
l,1,-72.47758977,68.59950917,4,462
l,2,-69.8590762,68.03061119,3,531
l,3,-72.1120788,69.86056785,5,1285
r,2,-69.44643284,76.45035637,4,1247
l,3,-69.36513871,69.23945604,4,1354
r,2,-70.27627547,71.73558859,5,279
l,2,-69.90445795,74.53420929,5,485
l,3,-71.37720202,71.04352624,4,348
l,2,-68.90814792,69.77570866,2,1293
l,1,-70.63199366,71.85930901,5,1171
l,2,-69.94531413,68.48453414,4,81
r,2,-70.31003186,69.12670614,4,20
r,2,-71.49265031,67.88488773,5,592
r,3,-69.10861814,69.21058573,4,965
l,1,-70.43082892,72.82147538,3,165
r,2,-69.5718374,69.13513355,4,965
r,3,-72.31999956,68.46629793,4,462
l,2,-69.83703031,73.73136558,5,546
r,1,-68.73545085,69.6370035,2,1293
l,2,-70.74711587,68.62179144,5,973
r,3,-70.05831816,72.50597839,3,218
r,1,-70.59903854,68.21648073,4,531
r,3,-70.35166386,71.93719397,5,1171
r,1,-68.58160998,69.84619191,4,348
r,1,-71.42065118,70.87342003,4,348
l,3,-71.76647693,70.94805769,5,1293
r,2,-73.24090634,67.630609,5,211
r,1,-70.82741889,68.30364406,4,531
r,2,-72.11950187,67.37276529,3,653
r,3,-73.18794891,67.79854077,6,20
r,3,-71.93820514,70.76547901,4,851
l,2,-69.76956913,73.48105979,4,157
l,1,-70.01142015,72.96320787,5,660
r,1,-68.86892143,69.68095478,3,1293
l,2,-69.32960944,76.66700011,3,302
r,2,-69.366344,69.20703327,5,965
r,3,-69.05174656,69.2301498,4,965
r,2,-70.6972979,72.35466867,4,218
l,1,-71.31409863,68.23311154,5,89
r,2,-69.33612547,69.47718235,4,20
r,2,-71.64869189,67.69006276,4,150
r,2,-70.75139168,71.73986899,5,729
l,3,-71.15377513,68.6167162,3,531
l,1,-70.70316603,71.88636244,6,1171
l,3,-68.52792696,69.99212747,4,348
l,2,-71.79645979,70.86366483,5,1293
l,3,-69.60906057,69.32595506,4,1354
l,2,-69.76247944,75.56083267,3,919
l,1,-70.10521214,72.66931658,4,218
r,2,-70.01168418,67.82883313,5,89
l,1,-72.2468773,68.70152141,4,462
l,2,-70.43354266,68.24252532,3,531
l,3,-68.57062502,69.74675514,2,1293
r,2,-68.76995531,70.25069807,4,790
r,3,-68.09315196,69.59342813,3,1293
l,2,-70.55289914,72.1530931,6,1163
r,1,-72.09859116,68.76315457,5,462
r,2,-70.51558551,68.27615294,4,531
r,3,-72.27582899,69.78483471,5,1285
l,3,-72.24641605,68.82272983,5,89
r,3,-69.89317543,74.38424074,4,538
r,2,-69.60752461,69.24089374,4,1354
r,2,-71.99579393,67.57848273,6,1095
r,3,-72.42675221,69.16670247,6,531
r,1,-72.25820508,68.43420735,5,20
l,2,-69.1242538,69.29277478,4,965
l,3,-68.90018026,69.28421613,4,965
r,2,-69.74234187,73.69981966,4,546
r,1,-72.39168421,69.41418725,5,401
l,2,-70.79363161,71.75358581,4,729
r,1,-69.56131051,68.96603229,4,523
l,2,-69.88029625,74.78503153,4,927
l,2,-71.77261598,67.73959942,3,150
l,2,-69.13691006,69.54807586,4,20
l,1,-71.20789631,68.45009294,5,531
l,2,-73.18251918,67.85888639,6,653
l,1,-71.43809899,70.87785865,5,348
l,3,-70.0005703,67.65171854,5,1034
r,3,-72.43910143,68.93196692,4,1346
r,2,-69.99792989,73.01346222,4,607
l,3,-71.10962228,68.72634049,5,20
l,3,-72.52524258,68.116066,5,20
r,3,-72.66593786,67.97950397,6,1095
l,1,-71.76010186,71.01039381,5,348
l,1,-72.43375056,68.96555038,6,531
